label,ax,ay,az
Type: S (Sitting), T (Standing), W (Walking), X (Stop)
S,780,100,17500,-174,283,-17
S,912,56,17720,-166,291,-10
S,992,104,17480,-152,272,-6
S,932,8,17704,-177,294,-9
S,892,8,17544,-144,275,-8
S,1012,92,17640,-154,330,-22
S,1068,92,17576,-150,322,-7
S,1080,100,17660,-137,302,-24
S,1048,120,17436,-172,303,-19
S,1004,172,17520,-149,312,-29
S,956,160,17548,-140,297,-29
S,996,140,17496,-157,301,-21
S,1152,132,17552,-142,301,-10
S,1120,-4,17572,-132,305,-16
S,1128,176,17648,-149,305,-8
S,1056,164,17648,-142,302,-2
S,1108,92,17756,-152,293,-31
S,1156,172,17504,-150,294,-13
S,1220,180,17480,-162,307,-43
S,1176,172,17644,-135,283,-27
S,1044,28,17628,-138,302,-24
S,1036,68,17484,-158,291,-32
S,1112,28,17664,-153,290,-31
S,1016,60,17572,-143,296,-12
S,1012,104,17576,-167,298,-23
S,948,128,17660,-152,295,-21
S,940,152,17436,-157,318,-14
S,948,8,17572,-151,303,-26
S,884,92,17592,-178,296,-14
S,956,124,17444,-158,305,-21
S,1044,28,17628,-138,302,-24
S,1036,68,17484,-158,291,-32
S,1112,28,17664,-153,290,-31
S,1016,60,17572,-143,296,-12
S,1012,104,17576,-167,298,-23
S,948,128,17660,-152,295,-21
S,940,152,17436,-157,318,-14
S,948,8,17572,-151,303,-26
S,884,92,17592,-178,296,-14
S,956,124,17444,-158,305,-21
S,1036,68,17484,-158,291,-32
S,1112,28,17664,-153,290,-31
S,1016,60,17572,-143,296,-12
S,1012,104,17576,-167,298,-23
S,948,128,17660,-152,295,-21
S,940,152,17436,-157,318,-14
S,948,8,17572,-151,303,-26
S,884,92,17592,-178,296,-14
S,956,124,17444,-158,305,-21
S,1112,28,17664,-153,290,-31
S,1016,60,17572,-143,296,-12
S,1012,104,17576,-167,298,-23
S,948,128,17660,-152,295,-21
S,940,152,17436,-157,318,-14
S,948,8,17572,-151,303,-26
S,884,92,17592,-178,296,-14
S,956,124,17444,-158,305,-21
S,1016,60,17572,-143,296,-12
S,1012,104,17576,-167,298,-23
S,948,128,17660,-152,295,-21
S,940,152,17436,-157,318,-14
S,948,8,17572,-151,303,-26
S,884,92,17592,-178,296,-14
S,956,124,17444,-158,305,-21
S,1012,104,17576,-167,298,-23
S,948,128,17660,-152,295,-21
S,940,152,17436,-157,318,-14
S,948,8,17572,-151,303,-26
S,884,92,17592,-178,296,-14
S,956,124,17444,-158,305,-21
S,948,128,17660,-152,295,-21
S,940,152,17436,-157,318,-14
S,948,8,17572,-151,303,-26
S,884,92,17592,-178,296,-14
S,956,124,17444,-158,305,-21
S,940,152,17436,-157,318,-14
S,948,8,17572,-151,303,-26
S,884,92,17592,-178,296,-14
S,956,124,17444,-158,305,-21
S,948,8,17572,-151,303,-26
S,884,92,17592,-178,296,-14
S,956,124,17444,-158,305,-21
S,1000,140,17576,-119,268,-8
S,1064,184,17660,-175,302,-41
S,884,92,17592,-178,296,-14
S,956,124,17444,-158,305,-21
S,1000,140,17576,-119,268,-8
S,1064,184,17660,-175,302,-41
S,1012,76,17476,-139,310,-7
S,1000,140,17576,-119,268,-8
S,1064,184,17660,-175,302,-41
S,1012,76,17476,-139,310,-7
S,1064,184,17660,-175,302,-41
S,1012,76,17476,-139,310,-7
S,996,168,17488,-152,292,-46
S,1012,76,17476,-139,310,-7
S,996,168,17488,-152,292,-46
S,996,168,17488,-152,292,-46
S,1100,112,17552,-157,308,-1
S,1220,124,17616,-139,285,-36
S,1160,216,17448,-149,285,-10
S,1220,124,17616,-139,285,-36
S,1160,216,17448,-149,285,-10
S,1080,164,17428,-125,298,-15
S,1140,168,17552,-149,298,-14
S,1140,168,17552,-149,298,-14
S,1112,68,17656,-151,287,-27
S,1080,208,17460,-165,305,-37
S,1052,160,17396,-137,294,-14
S,912,104,17548,-163,315,-23
S,868,116,17516,-159,318,-27
S,1024,64,17560,-167,311,-33
S,956,104,17628,-147,301,-23
S,928,116,17420,-151,300,-41

Stopped by user.
PS C:\Users\LEnovo> ^C
PS C:\Users\LEnovo> & C:/Users/LEnovo/AppData/Local/Programs/Python/Python310/python.exe "c:/Users/LEnovo/OneDrive/Desktop/arduino file.py"
Type: S (Sitting), T (Standing), W (Walking), X (Stop)
S,1088,0,17460,-138,322,-15
S,872,152,17568,-136,298,-19
S,928,64,17552,-148,308,-31
S,1060,156,17616,-134,286,-24
S,1192,108,17680,-147,302,-31
S,1184,144,17528,-149,298,-33
S,1084,156,17664,-158,294,-38
S,1036,148,17500,-161,318,-33
S,844,128,17528,-159,304,-9
S,1004,172,17596,-151,292,-24
S,972,164,17544,-169,306,-30
S,1184,204,17520,-165,284,-12
S,1100,120,17576,-162,294,-23
S,1056,52,17612,-167,297,-1
S,996,52,17596,-155,306,-10
S,932,36,17776,-145,312,-14
S,960,160,17636,-151,315,-20
S,1104,172,17508,-130,285,-56
S,1004,76,17624,-173,282,-30
S,1044,124,17488,-155,289,-31
S,864,4,17584,-138,293,-22
S,944,68,17448,-157,297,-39
S,1004,96,17528,-145,301,-32
S,1156,204,17580,-142,317,-28
S,1216,28,17644,-152,282,-28
S,1060,108,17324,-156,302,-51
S,896,104,17520,-140,302,-25
S,1016,156,17536,-163,299,-14
S,1008,160,17516,-162,299,-20
S,1196,180,17680,-164,285,-34
S,1056,128,17496,-152,296,-27
S,1052,88,17600,-155,287,-22
S,988,16,17652,-154,293,-42
S,880,124,17536,-155,285,-26
S,956,80,17616,-148,277,-18
S,1088,176,17580,-131,277,-29
S,1096,88,17652,-147,279,-26
S,1068,108,17532,-147,308,-34
S,1032,64,17600,-139,315,-14
S,996,8,17612,-152,288,-20
S,1060,100,17808,-148,301,-29
S,1140,188,17484,-138,284,-29
S,1172,64,17536,-159,308,-18
S,904,156,16820,-359,262,-20
S,972,120,17376,-161,310,-36
S,988,172,17644,-157,301,5
S,1044,56,17664,-105,292,-13
S,1164,88,17696,-153,288,-41
S,1072,168,17184,-183,300,-22
S,1084,24,17852,-61,322,-27
S,928,80,17484,-147,313,-10
S,920,100,17416,-144,297,-27
S,1004,144,17816,-184,289,-41
S,1144,180,17412,-150,297,-24
S,1112,136,17568,-153,284,-10
S,1076,44,17632,-149,300,-2
S,984,88,17448,-163,330,-34
S,868,92,17588,-152,298,-14
S,1088,120,17556,-146,312,-18
S,1176,116,17660,-149,305,-21
S,1136,68,17472,-159,279,-27
S,1096,56,17492,-153,297,4
S,840,12,17604,-169,292,-16
S,1020,120,17588,-154,294,-21
S,1128,156,17532,-151,322,-31
S,1172,52,17452,-137,292,-28
